productid,ean,colorid,size,description,originalprice,reducedprice,taxrate,discountinpercent,currentlyactive,created,updated
50,3373437,68,11,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,56636496,68,12,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,55032789,68,13,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,11751857,68,14,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,14739563,68,15,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,17705925,17,11,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,11878031,17,12,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,56727049,17,13,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,35166193,17,14,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,99958025,17,15,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,43523152,108,11,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,36498009,108,12,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,31202007,108,13,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,8480561,108,14,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,71923976,108,15,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,9553059,37,11,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,38914287,37,12,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,58354302,37,13,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,29162536,37,14,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
50,41032781,37,15,The stylish Costume Aminis just what you need right now!,147.00,119.07,19,19,t,2018-08-02 09:56:54.199683+00,
51,53901914,16,6,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,77999235,16,7,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,97825119,16,8,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,5424539,16,9,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,20751329,16,10,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,82757380,139,6,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,87154726,139,7,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,91089353,139,8,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,18362763,139,9,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,6873284,139,10,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,11711519,29,6,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,27678907,29,7,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,93025414,29,8,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,25414484,29,9,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,27180313,29,10,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,67124967,81,6,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,3940840,81,7,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,91678409,81,8,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,86956055,81,9,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
51,12161242,81,10,The stylish Athletic Shoes Trickis just what you need right now!,143.00,,19,,t,2018-08-02 10:44:07.671648+00,
52,53414717,114,11,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,6527092,114,12,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,41204226,114,13,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,43530797,114,14,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,55820909,114,15,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,51527528,131,11,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,96297034,131,12,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,88328743,131,13,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,19239249,131,14,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,18491403,131,15,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,59011406,70,11,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,51259047,70,12,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,51248505,70,13,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,39023042,70,14,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
52,72053972,70,15,The stylish Socks Cyliasis just what you need right now!,103.00,61.80,19,40,t,2018-08-02 10:48:48.224576+00,
53,62397639,92,6,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,39585534,92,7,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,82569194,92,8,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
