id,orderid,articleid,amount,price,created,updated
10,11,7364,1,52.92,2018-08-02 13:30:40.686986+00,
11,11,17820,1,59.00,2018-08-02 13:30:40.686986+00,
12,11,18212,1,118.80,2018-08-02 13:30:40.686986+00,
13,11,15699,1,75.00,2018-08-02 13:30:40.686986+00,
14,11,17935,1,56.09,2018-08-02 13:30:40.686986+00,
15,12,8764,1,85.49,2018-08-02 13:30:40.686986+00,
16,12,3255,1,141.00,2018-08-02 13:30:40.686986+00,
17,12,5841,1,115.08,2018-08-02 13:30:40.686986+00,
18,13,6833,1,43.55,2018-08-02 13:30:40.686986+00,
19,13,6183,1,132.00,2018-08-02 13:30:40.686986+00,
20,13,5576,1,124.08,2018-08-02 13:30:40.686986+00,
21,13,5125,1,115.00,2018-08-02 13:30:40.686986+00,
22,14,2449,1,54.00,2018-08-02 13:30:40.686986+00,
23,14,15133,1,102.60,2018-08-02 13:30:40.686986+00,
24,14,17891,1,46.80,2018-08-02 13:30:40.686986+00,
25,14,18039,1,62.40,2018-08-02 13:30:40.686986+00,
26,14,5932,1,79.00,2018-08-02 13:30:40.686986+00,
27,15,14848,1,104.37,2018-08-02 13:30:40.686986+00,
28,16,11364,1,111.60,2018-08-02 13:30:40.686986+00,
29,16,12226,1,34.20,2018-08-02 13:30:40.686986+00,
30,16,2702,1,118.30,2018-08-02 13:30:40.686986+00,
31,17,5569,1,124.08,2018-08-02 13:30:40.686986+00,
32,17,6742,1,130.00,2018-08-02 13:30:40.686986+00,
33,17,12971,1,63.00,2018-08-02 13:30:40.686986+00,
34,17,5827,1,62.64,2018-08-02 13:30:40.686986+00,
35,17,6840,1,43.55,2018-08-02 13:30:40.686986+00,
36,18,11712,1,60.00,2018-08-02 13:30:40.686986+00,
37,18,16482,1,105.00,2018-08-02 13:30:40.686986+00,
38,18,3182,1,85.80,2018-08-02 13:30:40.686986+00,
39,18,5368,1,123.00,2018-08-02 13:30:40.686986+00,
40,19,9945,1,49.84,2018-08-02 13:30:40.686986+00,
41,20,10722,1,78.60,2018-08-02 13:30:40.686986+00,
42,20,10181,1,67.20,2018-08-02 13:30:40.686986+00,
43,20,18211,1,118.80,2018-08-02 13:30:40.686986+00,
44,20,7394,1,95.14,2018-08-02 13:30:40.686986+00,
45,20,9601,1,99.00,2018-08-02 13:30:40.686986+00,
46,21,4814,1,52.00,2018-08-02 13:30:40.686986+00,
47,21,9390,1,114.81,2018-08-02 13:30:40.686986+00,
48,22,15723,1,55.00,2018-08-02 13:30:40.686986+00,
49,22,2973,1,72.00,2018-08-02 13:30:40.686986+00,
50,23,6190,1,132.00,2018-08-02 13:30:40.686986+00,
51,24,15005,1,41.08,2018-08-02 13:30:40.686986+00,
52,24,4253,1,46.28,2018-08-02 13:30:40.686986+00,
53,24,6104,1,150.00,2018-08-02 13:30:40.686986+00,
54,25,5608,1,105.00,2018-08-02 13:30:40.686986+00,
55,25,10033,1,103.68,2018-08-02 13:30:40.686986+00,
56,25,13374,1,60.30,2018-08-02 13:30:40.686986+00,
57,25,1318,1,79.00,2018-08-02 13:30:40.686986+00,
