id,customerid,ordertimestamp,shippingaddressid,total,shippingcost,created,updated
11,229,2018-03-14 05:52:31.662986+00,229,361.81,3.9,2018-08-02 13:30:40.686986+00,
12,1077,2018-01-06 05:50:20.248586+00,1077,341.57,3.9,2018-08-02 13:30:40.686986+00,
13,865,2017-07-25 11:08:29.118986+00,865,414.63,3.9,2018-08-02 13:30:40.686986+00,
14,406,2017-11-12 11:01:20.402186+00,406,344.8,3.9,2018-08-02 13:30:40.686986+00,
15,757,2018-05-08 12:03:20.008586+00,757,104.37,3.9,2018-08-02 13:30:40.686986+00,
16,553,2017-08-23 15:25:14.670986+00,553,264.1,3.9,2018-08-02 13:30:40.686986+00,
17,345,2017-10-06 01:29:11.176586+00,345,423.27,3.9,2018-08-02 13:30:40.686986+00,
18,340,2017-01-27 22:39:04.917386+00,340,373.8,3.9,2018-08-02 13:30:40.686986+00,
19,273,2018-01-05 08:38:34.187786+00,273,49.84,3.9,2018-08-02 13:30:40.686986+00,
20,265,2018-03-13 22:14:51.237386+00,265,458.74,3.9,2018-08-02 13:30:40.686986+00,
21,1009,2018-01-17 19:34:44.507786+00,1009,166.81,3.9,2018-08-02 13:30:40.686986+00,
22,1072,2018-03-19 22:28:23.570186+00,1072,127,3.9,2018-08-02 13:30:40.686986+00,
23,1098,2017-08-16 07:09:58.686986+00,1098,132,3.9,2018-08-02 13:30:40.686986+00,
24,663,2017-02-14 09:26:10.830986+00,663,237.36,3.9,2018-08-02 13:30:40.686986+00,
25,1061,2016-09-07 18:04:02.171786+00,1061,449.68,3.9,2018-08-02 13:30:40.686986+00,
26,775,2017-10-23 08:51:54.078986+00,775,153.33,3.9,2018-08-02 13:30:40.686986+00,
27,1050,2017-02-23 10:03:12.174986+00,1050,220.97,3.9,2018-08-02 13:30:40.686986+00,
28,259,2017-11-10 12:04:23.944586+00,259,382.37,3.9,2018-08-02 13:30:40.686986+00,
29,189,2016-11-14 22:32:14.603786+00,189,181,3.9,2018-08-02 13:30:40.686986+00,
30,451,2017-04-12 17:55:42.088586+00,451,113,3.9,2018-08-02 13:30:40.686986+00,
31,276,2017-08-12 20:15:13.643786+00,276,374.6,3.9,2018-08-02 13:30:40.686986+00,
32,265,2017-06-20 22:42:36.251786+00,265,36,3.9,2018-08-02 13:30:40.686986+00,
33,702,2017-04-27 14:51:30.837386+00,702,227.1,3.9,2018-08-02 13:30:40.686986+00,
34,801,2018-04-18 04:59:58.235786+00,801,258.78,3.9,2018-08-02 13:30:40.686986+00,
35,701,2016-10-15 09:59:11.464586+00,701,279,3.9,2018-08-02 13:30:40.686986+00,
36,250,2018-06-05 16:19:29.272586+00,250,277.98,3.9,2018-08-02 13:30:40.686986+00,
37,496,2016-12-04 19:45:24.645386+00,496,369.52,3.9,2018-08-02 13:30:40.686986+00,
38,656,2018-01-10 00:04:27.918986+00,656,203.7,3.9,2018-08-02 13:30:40.686986+00,
39,387,2017-05-09 20:02:06.885386+00,387,339.8,3.9,2018-08-02 13:30:40.686986+00,
40,740,2017-06-28 00:37:58.533386+00,740,311.74,3.9,2018-08-02 13:30:40.686986+00,
41,896,2016-08-14 09:49:40.878986+00,896,202.98,3.9,2018-08-02 13:30:40.686986+00,
42,639,2017-08-03 17:27:06.702986+00,639,97.04,3.9,2018-08-02 13:30:40.686986+00,
43,291,2016-11-12 07:24:04.629386+00,291,571.8,3.9,2018-08-02 13:30:40.686986+00,
44,1041,2018-07-02 11:25:44.882186+00,1041,86,3.9,2018-08-02 13:30:40.686986+00,
45,598,2016-08-28 06:02:54.779786+00,598,242.9,3.9,2018-08-02 13:30:40.686986+00,
46,378,2018-03-25 02:51:37.230986+00,378,381,3.9,2018-08-02 13:30:40.686986+00,
47,584,2018-04-17 22:54:45.035786+00,584,259.2,3.9,2018-08-02 13:30:40.686986+00,
48,384,2017-04-15 20:35:10.197386+00,384,449.25,3.9,2018-08-02 13:30:40.686986+00,
49,856,2018-02-25 14:44:47.262986+00,856,97.9,3.9,2018-08-02 13:30:40.686986+00,
50,314,2018-02-01 09:57:50.594186+00,314,87,3.9,2018-08-02 13:30:40.686986+00,
51,112,2017-11-19 10:01:35.838986+00,1112,68,3.9,2018-08-02 13:30:40.686986+00,
52,196,2016-09-08 05:37:49.864586+00,196,269.04,3.9,2018-08-02 13:30:40.686986+00,
